,Code,Name,Northing,Easting,Population,No. pubs,Life expectancy (female),Life expectancy (male),Median income
78,E07000039,South Derbyshire,325363.0,431443.0,"109,516",80,83.05,79.85,"27,450"
79,E07000040,East Devon,96050.0,313790.0,"148,080",120,85.41,81.23,"22,284"
80,E07000041,Exeter,92005.0,293239.0,"133,333",70,83.83,78.86,"23,369"
81,E07000042,Mid Devon,108911.0,288064.0,"83,290",70,84.64,81.07,"22,001"
82,E07000043,North Devon,132532.0,265110.0,"98,170",110,83.6,80.56,"19,968"
83,E07000044,South Hams,54036.0,270676.0,"87,946",115,85.25,81.87,"20,110"
84,E07000045,Teignbridge,80205.0,283144.0,"135,039",130,84.69,80.73,"21,243"
85,E07000046,Torridge,114334.0,244206.0,"68,719",65,82.94,79.65,"20,942"
86,E07000047,West Devon,86990.0,256376.0,"56,139",70,83.95,80.61,"19,919"
87,E07000048,,,,,25,,,
88,E07000049,,,,,60,,,
89,E07000050,,,,,55,,,
90,E07000051,,,,,40,,,
91,E07000052,,,,,120,,,
92,E07000053,,,,,60,,,
93,E07000061,Eastbourne,99575.0,559339.0,"103,324",45,83.37,79.14,"23,352"
94,E07000062,Hastings,110694.0,581528.0,"92,554",60,81.75,78.02,"20,787"
95,E07000063,Lewes,105686.0,541474.0,"103,525",60,85.14,80.91,"25,000"
96,E07000064,Rother,119666.0,578721.0,"96,716",70,84.0,80.62,"22,363"
97,E07000065,Wealden,117180.0,555048.0,"162,733",115,84.93,81.36,"23,988"
98,E07000066,Basildon,190848.0,571548.0,"187,558",40,83.08,79.35,"27,723"
99,E07000067,Braintree,227335.0,577253.0,"153,091",100,83.0,80.12,"27,106"
100,E07000068,Brentwood,196070.0,558560.0,"77,242",55,84.8,81.2,"32,391"
101,E07000069,Castle Point,187920.0,579490.0,"90,524",15,83.53,80.15,x
102,E07000070,Chelmsford,206972.0,572116.0,"179,549",130,84.37,81.41,"26,399"
103,E07000071,Colchester,223693.0,596944.0,"197,200",95,83.39,80.5,"24,448"
104,E07000072,Epping Forest,203758.0,548919.0,"132,175",85,83.97,81.07,"27,296"
105,E07000073,Harlow,209589.0,545276.0,"87,280",30,82.83,78.52,"23,508"
106,E07000074,Maldon,212072.0,591413.0,"65,401",60,83.66,81.05,x
107,E07000075,Rochford,191417.0,585979.0,"87,627",30,84.42,81.56,"24,828"
108,E07000076,Tendring,222141.0,614190.0,"147,353",85,81.68,78.2,"21,626"
109,E07000077,Uttlesford,228865.0,557832.0,"92,759",65,85.82,82.88,x
110,E07000078,Cheltenham,222232.0,394925.0,"116,043",75,83.75,80.57,"27,443"
111,E07000079,Cotswold,208209.0,402125.0,"90,264",110,85.03,82.8,"24,853"
112,E07000080,Forest of Dean,212759.0,367175.0,"87,107",75,83.93,80.75,x
113,E07000081,Gloucester,216449.0,384071.0,"129,709",60,82.86,78.56,"22,760"
114,E07000082,Stroud,202410.0,378807.0,"120,903",95,83.89,80.64,"24,401"
115,E07000083,Tewkesbury,226279.0,386347.0,"96,624",50,85.22,81.18,"24,721"
116,E07000084,Basingstoke and Deane,151423.0,454508.0,"177,760",85,84.12,80.26,"30,412"
117,E07000085,East Hampshire,129237.0,474404.0,"123,838",80,84.97,81.43,"28,138"
118,E07000086,Eastleigh,116802.0,447202.0,"135,520",55,85.09,81.57,"24,953"
